ent_id,etype,month,p50,p_deficit,drivers,action
3,kharif_farmer,2026-05-01,-10481.953788031296,1.0,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
54,kharif_farmer,2026-05-01,-9457.062246643367,0.9999999999999782,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
28,kharif_farmer,2026-06-01,-14026.417955445719,0.9999999999867435,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
2,kharif_farmer,2026-06-01,-17321.451791482225,0.9999999999691292,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
24,kharif_farmer,2026-05-01,-12729.69242605709,0.9999999998169176,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
54,kharif_farmer,2026-06-01,-22598.639367443426,0.999999999591992,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
55,kharif_farmer,2026-06-01,-15005.439552606917,0.9999999995889973,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
35,kharif_farmer,2026-06-01,-12379.440677139795,0.9999999993900034,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
52,kharif_farmer,2026-06-01,-17630.174973880185,0.9999999991142794,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
23,kharif_farmer,2026-06-01,-17375.158187334284,0.9999999990811668,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
22,kharif_farmer,2026-06-01,-19174.01525062689,0.9999999989490929,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
60,kharif_farmer,2026-06-01,-19376.29248355797,0.9999999985457174,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
18,kharif_farmer,2026-06-01,-13959.829721097387,0.9999999976237792,rainfall deficit last month; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
4,kharif_farmer,2026-06-01,-14505.54067317679,0.9999999969480083,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
5,kharif_farmer,2026-06-01,-22169.398020479104,0.9999999966734521,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
37,kharif_farmer,2026-06-01,-23575.200114400857,0.9999999966480906,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
53,kharif_farmer,2026-06-01,-16554.327056830527,0.9999999960439865,rainfall deficit last month; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
17,kharif_farmer,2026-06-01,-19557.50169266831,0.9999999951743449,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
24,kharif_farmer,2026-06-01,-22792.209905539807,0.9999999947575328,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
114,dairy_shg,2026-06-01,-13298.8987239482,0.9999999943932845,missed SHG deposits; repeated recent deficits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
51,kharif_farmer,2026-06-01,-22535.315298312864,0.9999999920383793,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
13,kharif_farmer,2026-05-01,-9694.84101829452,0.9999999916537579,rainfall deficit last month; missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
3,kharif_farmer,2026-06-01,-22691.31894840891,0.9999999914786328,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
46,kharif_farmer,2026-06-01,-17688.319300199088,0.9999999912746504,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
39,kharif_farmer,2026-06-01,-16395.518212347783,0.9999999911210083,rainfall deficit last month; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
16,kharif_farmer,2026-06-01,-19055.72816853839,0.999999986845837,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
14,kharif_farmer,2026-06-01,-21966.26529637597,0.9999999851792097,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
10,kharif_farmer,2026-06-01,-10486.056400169475,0.9999999840215139,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
36,kharif_farmer,2026-06-01,-24133.05685250952,0.9999999827367968,mandi price falling; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
59,kharif_farmer,2026-05-01,-11918.803725851258,0.9999999806379046,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
13,kharif_farmer,2026-06-01,-24789.924285312893,0.9999999801408026,rainfall deficit last month; missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
4,kharif_farmer,2026-05-01,-8665.878474039873,0.9999999797473548,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
1,kharif_farmer,2026-06-01,-21038.10827115792,0.9999999690300201,monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
76,dairy_shg,2026-06-01,-12059.283519671071,0.9999999663467405,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
19,kharif_farmer,2026-06-01,-19060.99015421905,0.9999999549071754,missed SHG deposits; monsoon input-cost season,Field visit within 2 weeks; assess restructuring / top-up need
9,kharif_farmer,2026-05-01,-11894.594263913325,0.9999999471516752,missed SHG deposits,Field visit within 2 weeks; assess restructuring / top-up need
